stop_id,stop_name,stop_lat,stop_lon,location_type
6280,13591 - KÖPRÜ,41.268006,36.342206,0
6299,10862 - AVCILAR DURAĞI,41.251273,36.303956,0
6344,70051 - DEREKÖY YOLU,41.46944,36.106345,0
10059,65612 - Sanayi Kavşağı,41.206868,36.693492,0
10090,78082 - Söğütlü ,41.220479,36.867464,0
909,Türkiş,41.332076595118004,36.2696255030583,0
4795,12051 - ÇATALARMUT,41.2864,36.3083,0
4835,30522 - ATATÜRK BULVARI,41.362226,36.231988,0
4836,30492 - TUTKUN SİTESİ,41.357888,36.235304,0
4879,11061 - FEVZİ ÇAKMAK MAHALLESİ,41.2746540066274,36.3273434470406,0
4992,11151 - ESENTEPE KIŞLASI,41.2835949632218,36.3119069461818,0
5016,10152 - GÜZEL SANATLAR FAKÜLTESİ,41.3220609871451,36.3157744830854,0
5043,30741 - KARAKAVUK,41.40892165,36.17779898,0
5094,10731 - YILMAZ SOKAK,41.267499,36.333476,0
5120,30712 - USLUKENT,41.4035,36.1859,0
5167,13122 - DERECİK KAVŞAĞI,41.301678,36.280504,0
5174,32382 - ÇOBANÖZÜ 1,41.3098,36.2511,0
5258,31172 - 1250.SOKAK,41.310736,36.293454,0
5277,33461 - ALANLI 3,41.3312,36.207,0
5423,12441 - MEHTAP CADDESİ,41.3186,36.3162,0
5440,31891 - NİŞANTAŞI CADDESİ 2,41.322847,36.282554,0
5490,32461 - 3277.SOKAK,41.333876,36.249058,0
5503,31482 - MELTEM,41.335882,36.253059,0
5555,33312 - 3260.SOKAK,41.341654,36.242558,0
5563,32882 - SAMSUN CADDESİ,41.3514370814006,36.2307800350354,0
5621,12871 - TEPECİK 2,41.267861,36.310097,0
5651,11621 - FEN İŞLERİ ŞANTİYESİ,41.285402,36.310893,0
5685,50572 - HACI BAHADIR ALAMAN CAMİ,41.255965,36.357401,0
5714,60151 - KERİMBEY,41.2259,36.429,0
5760,31251 - 624.SOKAK,41.320549,36.289953,0
5811,33042 - BOSTANCI BULVARI,41.3537,36.207,0
5960,65131 - ÇINARLIK SOSYAL TESİSLERİ,41.2566048602242,36.5365138225551,0
5989,60102 - BANKALAR,41.232606,36.418554,0
6131,12351 - AMİSOS TEPE EVLERİ,41.3149334539184,36.3192718473554,0
6178,11282 - İLYASKÖY MEZARLIĞI,41.2724097881413,36.3196067550524,0
6220,33891 - AKSU KÖYÜ CAMİİ,41.351077,36.166543,0
6232,60841 - ÇİNİK YOLU,41.204467,36.471015,0
6278,13581 - BURCUKENT,41.266727,36.339948,0
6292,34022 - BAHÇEŞEHİR KOLEJİ,41.310578,36.272397,0
6302,10852 - 1032.SOKAK,41.251818,36.304967,0
6326,31602 - PELİTKÖY BULVAR,41.35841,36.232732,0
6350,70081 - BALLICA KAVŞAK,41.493164,36.082757,0
8013,35011 - AYDINLIK CADDESİ 2,41.332757,36.252902,0
910,Mimar Sinan,41.329355134480586,36.28098804922682,0
4714,60092 - MOBİLYACILAR,41.2355,36.4142,0
4731,10492 - MAÇKA SOKAK,41.266461,36.336536,0
4735,12431 - KALKANCA MEZARLIĞI,41.319571588476,36.3171585255106,0
4775,32111 - BEYPINAR MAHALLESİ,41.3100189716546,36.2698506641185,0
4796,12041 - ANADOLU MAHALLESİ,41.287346,36.310508,0
4838,30472 - ÖĞRENCİ YURDU,41.355194,36.237396,0
4840,31572 - VATAN CADDESİ,41.34923,36.237153,0
